
n , t
0, 0.000002 
1, 0.000003 
2, 0.000004 
3, 0.000005 
4, 0.000006 
5, 0.000007 
6, 0.000008 
7, 0.000009 
8, 0.000010 
9, 0.000011 
10, 0.000012 
11, 0.000013 
12, 0.000014 
13, 0.000015 
14, 0.000016 
15, 0.000017 
16, 0.000018 
17, 0.000019 
18, 0.000020 
19, 0.000021 
20, 0.000022 
21, 0.000023 
22, 0.000024 
23, 0.000025 
24, 0.000026 
25, 0.000027 
26, 0.000028 
27, 0.000029 
28, 0.000030 
29, 0.000031 
30, 0.000032 
31, 0.000033 
32, 0.000034 
33, 0.000035 
34, 0.000036 
35, 0.000037 
36, 0.000038 
37, 0.000039 
38, 0.000040 
39, 0.000041 
40, 0.000042 
41, 0.000043 
42, 0.000044 
43, 0.000047 
44, 0.000049 
45, 0.000050 
46, 0.000054 
47, 0.000055 
48, 0.000056 
49, 0.000057 
50, 0.000059 
51, 0.000060 
52, 0.000062 
53, 0.000063 
54, 0.000065 
55, 0.000066 
56, 0.000067 
57, 0.000068 
58, 0.000069 
59, 0.000070 
60, 0.000071 
61, 0.000072 
62, 0.000074 
63, 0.000075 
64, 0.000077 
65, 0.000078 
66, 0.000079 
67, 0.000080 
68, 0.000082 
69, 0.000083 
70, 0.000085 
71, 0.000086 
72, 0.000087 
73, 0.000088 
74, 0.000089 
75, 0.000091 
76, 0.000092 
77, 0.000093 
78, 0.000094 
79, 0.000095 
80, 0.000096 
81, 0.000097 
82, 0.000098 
83, 0.000099 
84, 0.000100 
85, 0.000101 
86, 0.000102 
87, 0.000103 
88, 0.000104 
89, 0.000105 
90, 0.000106 
91, 0.000107 
92, 0.000109 
93, 0.000110 
94, 0.000112 
95, 0.000113 
96, 0.000114 
97, 0.000115 
98, 0.000116 
99, 0.000118 
100, 0.000119 
101, 0.000120 
102, 0.000121 
103, 0.000122 
104, 0.000124 
105, 0.000132 
106, 0.000133 
107, 0.000135 
108, 0.000136 
109, 0.000137 
110, 0.000144 
111, 0.000145 
112, 0.000147 
113, 0.000148 
114, 0.000149 
115, 0.000150 
116, 0.000151 
117, 0.000152 
118, 0.000153 
119, 0.000154 
120, 0.000155 
121, 0.000157 
122, 0.000158 
123, 0.000159 
124, 0.000160 
125, 0.000161 
126, 0.000162 
127, 0.000163 
128, 0.000164 
129, 0.000165 
130, 0.000166 
131, 0.000167 
132, 0.000168 
133, 0.000169 
134, 0.000170 
135, 0.000171 
136, 0.000172 
137, 0.000173 
138, 0.000174 
139, 0.000175 
140, 0.000177 
141, 0.000178 
142, 0.000179 
143, 0.000180 
144, 0.000181 
145, 0.000182 
146, 0.000183 
147, 0.000185 
148, 0.000186 
149, 0.000187 
150, 0.000189 
151, 0.000190 
152, 0.000191 
153, 0.000192 
154, 0.000193 
155, 0.000194 
156, 0.000195 
157, 0.000196 
158, 0.000197 
159, 0.000199 
160, 0.000200 
161, 0.000201 
162, 0.000202 
163, 0.000203 
164, 0.000204 
165, 0.000205 
166, 0.000206 
167, 0.000207 
168, 0.000208 
169, 0.000209 
170, 0.000210 
171, 0.000211 
172, 0.000212 
173, 0.000213 
174, 0.000214 
175, 0.000215 
176, 0.000216 
177, 0.000217 
178, 0.000218 
179, 0.000219 
180, 0.000220 
181, 0.000221 
182, 0.000222 
183, 0.000223 
184, 0.000224 
185, 0.000225 
186, 0.000226 
187, 0.000227 
188, 0.000228 
189, 0.000229 
190, 0.000230 
191, 0.000231 
192, 0.000232 
193, 0.000233 
194, 0.000234 
195, 0.000235 
196, 0.000236 
197, 0.000237 
198, 0.000238 
