
n , t
0, 0.000001 
1, 0.000002 
2, 0.000003 
3, 0.000003 
4, 0.000004 
5, 0.000005 
6, 0.000006 
7, 0.000007 
8, 0.000008 
9, 0.000009 
10, 0.000010 
11, 0.000011 
12, 0.000012 
13, 0.000013 
14, 0.000014 
15, 0.000015 
16, 0.000016 
17, 0.000017 
18, 0.000018 
19, 0.000019 
20, 0.000020 
21, 0.000021 
22, 0.000022 
23, 0.000023 
24, 0.000024 
25, 0.000025 
26, 0.000026 
27, 0.000027 
28, 0.000028 
29, 0.000029 
30, 0.000029 
31, 0.000029 
32, 0.000029 
33, 0.000029 
34, 0.000029 
35, 0.000029 
36, 0.000030 
37, 0.000031 
38, 0.000032 
39, 0.000033 
40, 0.000034 
41, 0.000035 
42, 0.000036 
43, 0.000037 
44, 0.000038 
45, 0.000039 
46, 0.000040 
47, 0.000041 
48, 0.000041 
49, 0.000041 
50, 0.000041 
51, 0.000041 
52, 0.000041 
53, 0.000041 
54, 0.000042 
55, 0.000043 
56, 0.000044 
57, 0.000045 
58, 0.000046 
59, 0.000047 
60, 0.000048 
61, 0.000049 
62, 0.000050 
63, 0.000051 
64, 0.000052 
65, 0.000053 
66, 0.000053 
67, 0.000053 
68, 0.000053 
69, 0.000053 
70, 0.000053 
71, 0.000053 
72, 0.000054 
73, 0.000055 
74, 0.000056 
75, 0.000057 
76, 0.000058 
77, 0.000059 
78, 0.000060 
79, 0.000061 
80, 0.000062 
81, 0.000063 
82, 0.000064 
83, 0.000065 
84, 0.000066 
85, 0.000066 
86, 0.000066 
87, 0.000066 
88, 0.000066 
89, 0.000067 
90, 0.000068 
91, 0.000069 
92, 0.000070 
93, 0.000071 
94, 0.000072 
95, 0.000073 
96, 0.000074 
97, 0.000075 
98, 0.000076 
99, 0.000077 
100, 0.000078 
101, 0.000078 
102, 0.000078 
103, 0.000078 
104, 0.000078 
105, 0.000080 
106, 0.000081 
107, 0.000082 
108, 0.000083 
109, 0.000084 
110, 0.000084 
111, 0.000084 
112, 0.000084 
113, 0.000084 
114, 0.000085 
115, 0.000086 
116, 0.000087 
117, 0.000088 
118, 0.000089 
119, 0.000090 
120, 0.000091 
121, 0.000092 
122, 0.000093 
123, 0.000094 
124, 0.000095 
125, 0.000096 
126, 0.000097 
127, 0.000098 
128, 0.000099 
129, 0.000100 
130, 0.000101 
131, 0.000102 
132, 0.000103 
133, 0.000104 
134, 0.000104 
135, 0.000104 
136, 0.000104 
137, 0.000104 
138, 0.000104 
139, 0.000104 
140, 0.000104 
141, 0.000104 
142, 0.000104 
143, 0.000104 
144, 0.000104 
145, 0.000104 
146, 0.000104 
147, 0.000104 
148, 0.000104 
149, 0.000104 
150, 0.000105 
151, 0.000106 
152, 0.000107 
153, 0.000108 
154, 0.000109 
155, 0.000110 
156, 0.000111 
157, 0.000112 
158, 0.000113 
159, 0.000114 
160, 0.000115 
161, 0.000116 
162, 0.000117 
163, 0.000118 
164, 0.000119 
165, 0.000120 
166, 0.000121 
167, 0.000122 
168, 0.000123 
169, 0.000124 
170, 0.000124 
171, 0.000124 
172, 0.000124 
173, 0.000124 
174, 0.000124 
175, 0.000124 
176, 0.000124 
177, 0.000124 
178, 0.000125 
179, 0.000126 
180, 0.000127 
181, 0.000128 
182, 0.000129 
183, 0.000130 
184, 0.000131 
185, 0.000132 
186, 0.000133 
187, 0.000134 
188, 0.000135 
189, 0.000136 
190, 0.000137 
191, 0.000138 
192, 0.000139 
193, 0.000140 
194, 0.000141 
195, 0.000142 
196, 0.000143 
197, 0.000144 
198, 0.000144 
199, 0.000144 
200, 0.000144 
201, 0.000144 
202, 0.000144 
203, 0.000144 
204, 0.000144 
205, 0.000144 
206, 0.000145 
207, 0.000146 
208, 0.000147 
209, 0.000148 
210, 0.000149 
211, 0.000150 
212, 0.000151 
213, 0.000152 
214, 0.000153 
215, 0.000154 
216, 0.000155 
217, 0.000156 
218, 0.000157 
219, 0.000158 
220, 0.000159 
221, 0.000160 
222, 0.000161 
223, 0.000162 
224, 0.000163 
225, 0.000163 
226, 0.000163 
227, 0.000163 
228, 0.000163 
229, 0.000163 
230, 0.000163 
231, 0.000163 
232, 0.000163 
233, 0.000165 
234, 0.000166 
235, 0.000166 
236, 0.000166 
237, 0.000167 
238, 0.000168 
239, 0.000168 
240, 0.000168 
241, 0.000168 
242, 0.000168 
243, 0.000168 
244, 0.000168 
245, 0.000168 
246, 0.000168 
247, 0.000168 
248, 0.000168 
249, 0.000168 
250, 0.000168 
251, 0.000169 
